Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",ST,Gender-Neutral,636,661
IIT Bhubaneswar,"Electrical Engineering (4 Years, B. Tech)",ST,Female-only (including Supernumerary),1052,1052
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,3159,4571
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",OPEN,Female-only (including Supernumerary),5949,6884
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",OPEN (PwD),Gender-Neutral,178,178
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,614,662
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",EWS,Female-only (including Supernumerary),959,959
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",EWS (PwD),Gender-Neutral,11,11
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",OBC-NCL,Gender-Neutral,1318,1701
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",OBC-NCL,Female-only (including Supernumerary),2826,3246
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",SC,Gender-Neutral,876,1090
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",SC,Female-only (including Supernumerary),1264,1386
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",ST,Gender-Neutral,338,390
IIT Bhubaneswar,"Electronics and Communication
Engineering (4 Years, B. Tech)",ST,Female-only (including Supernumerary),853,853
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",OPEN,Gender-Neutral,7249,9074
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",OPEN,Female-only (including Supernumerary),14779,17941
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",OPEN (PwD),Gender-Neutral,68,68
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",EWS,Gender-Neutral,1314,1492
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",EWS,Female-only (including Supernumerary),2678,2678
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",OBC-NCL,Gender-Neutral,2925,3474
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",OBC-NCL,Female-only (including Supernumerary),5713,6902
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",SC,Gender-Neutral,1497,2013
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",SC,Female-only (including Supernumerary),2505,2505
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",ST,Gender-Neutral,532,978
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.
Tech)",ST,Female-only (including Supernumerary),1079,1079
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
MechanicalSystemDesign(5Years, B.
Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,10490,11159
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
MechanicalSystemDesign(5Years, B.
Tech - M.Tech Dual Deg.)",OPEN,Female-only (including Supernumerary),16897,16897
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
MechanicalSystemDesign(5Years, B.
Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,1684,1684
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
MechanicalSystemDesign(5Years, B.
Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,3544,4012
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
MechanicalSystemDesign(5Years, B.
Tech - M.Tech Dual Deg.)",OBC-NCL,Female-only (including Supernumerary),8336,8336
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
MechanicalSystemDesign(5Years, B.
Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,2036,2055
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
MechanicalSystemDesign(5Years, B.
Tech - M.Tech Dual Deg.)",ST,Gender-Neutral,1058,1058
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
MechanicalSystemDesign(5Years, B.
Tech - M.Tech Dual Deg.)",ST,Female-only (including Supernumerary),1430,1430
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
Thermal Science & Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,10951,12484
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
Thermal Science & Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",OPEN,Female-only (including Supernumerary),21755,21755
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
Thermal Science & Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,1798,1798
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
Thermal Science & Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4107,4368
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
Thermal Science & Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",OBC-NCL,Female-only (including Supernumerary),7954,7954
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
Thermal Science & Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,2321,2321
