Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),ST,Gender-Neutral,1102,1223
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),330,602
IIT Bombay,Aerospace Engineering (4 Years B.Tech),EWS,Gender-Neutral,327,618
IIT Bombay,Aerospace Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),1050,1409
IIT Bombay,Aerospace Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,447,1577
IIT Bombay,Aerospace Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),1935,3516
IIT Bombay,Aerospace Engineering (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,62,62
IIT Bombay,Aerospace Engineering (4 Years B.Tech),OPEN,Gender-Neutral,817,2394
IIT Bombay,Aerospace Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),2494,6360
IIT Bombay,Aerospace Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,44,44
IIT Bombay,Aerospace Engineering (4 Years B.Tech),OPEN (PwD),Female-only (including Supernumerary),41,41
IIT Bombay,Aerospace Engineering (4 Years B.Tech),SC,Gender-Neutral,136,678
IIT Bombay,Aerospace Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),803,1493
IIT Bombay,Aerospace Engineering (4 Years B.Tech),ST,Gender-Neutral,184,501
IIT Bombay,Aerospace Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),424,424
IIT Bombay,Chemical Engineering (4 Years B.Tech),EWS,Gender-Neutral,390,485
IIT Bombay,Chemical Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),927,1438
IIT Bombay,Chemical Engineering (4 Years B.Tech),EWS (PwD),Gender-Neutral,44,44
IIT Bombay,Chemical Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,953,1338
IIT Bombay,Chemical Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),2481,3197
IIT Bombay,Chemical Engineering (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,64,64
IIT Bombay,Chemical Engineering (4 Years B.Tech),OPEN,Gender-Neutral,650,2545
IIT Bombay,Chemical Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),4559,6650
IIT Bombay,Chemical Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,130,153
IIT Bombay,Chemical Engineering (4 Years B.Tech),OPEN (PwD),Female-only (including Supernumerary),265,265
IIT Bombay,Chemical Engineering (4 Years B.Tech),SC,Gender-Neutral,492,783
IIT Bombay,Chemical Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),1123,1498
IIT Bombay,Chemical Engineering (4 Years B.Tech),ST,Gender-Neutral,301,413
IIT Bombay,Chemical Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),344,742
IIT Bombay,Civil Engineering (4 Years B.Tech),EWS,Gender-Neutral,559,769
IIT Bombay,Civil Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),1725,2029
IIT Bombay,Civil Engineering (4 Years B.Tech),EWS (PwD),Gender-Neutral,36,36
